"well","row","col","dHm_fit","Tm_fit","BS_factor","T_onset","dG_std"
"K08","11","08",136061.889621581,334.406316406721,0.955124678906647,305.702247204506,14751.8233926435
"K09","11","09",167919.889500139,330.876696203192,0.957914520744845,307.712559123005,16608.7949777213
"K10","11","10",141922.778081567,335.039498174935,0.95260018874575,307.322562444808,15626.3965638106
"K11","11","11",166009.543608687,331.092283663345,0.951480237483741,307.651009638975,16517.2483510383
"K12","11","12",135811.048875284,334.455522623544,0.950111121509112,305.694897502515,14742.4418912008
"K13","11","13",166516.982055412,331.033878369708,0.958624236591529,307.666950330174,16541.2803407559
"K14","11","14",136388.620111372,334.675820086534,0.956202756258666,305.990421070622,14885.1691728147
"K15","11","15",167486.417300226,331.152612641316,0.958436145618603,307.89535054281,16691.6676536333
"K16","11","16",142382.515926176,335.135546965529,0.949627265651757,307.485531382665,15713.3293604317
"K17","11","17",170083.787428848,330.973509396896,0.95443811836587,308.070758085253,16867.6544690943
"K18","11","18",137348.966583683,334.770919046412,0.94259590352387,306.253497890889,15024.738112548
"K19","11","19",166824.08164516,331.153823210373,0.953621810675655,307.810567896225,16626.2084625006
"K20","11","20",139414.332219849,334.831420244077,0.947712990646924,306.691231569992,15273.1058049328
"K21","11","21",178588.593160537,331.883097576213,0.949086707685127,309.882459517019,18152.0134139991
"K22","11","22",142024.716281924,335.517475109363,0.951903384431778,307.742976492397,15817.6710433616
"K23","11","23",165738.667880362,330.937676573416,0.956085173175274,307.481951544886,16420.5716751157
"K24","11","24",137962.864503438,335.04588959292,0.949533974596995,306.599904992987,15192.7326218701
"L01","12","01",174620.560916702,331.023463494066,0.954831659149656,308.669046727321,17341.3164553859
"L02","12","02",139758.463424468,335.22505653561,0.951567398484317,307.085067874558,15456.9380533216
"L03","12","03",174643.625153404,330.782323818646,0.958741821311188,308.462115083279,17228.9355219373
"L04","12","04",132828.893844157,334.824483257972,0.954537464031738,305.412869873414,14549.2079792422
"L05","12","05",166687.245084906,331.168639576739,0.955726923244186,307.805556468858,16619.2851911714
"L06","12","06",145866.349544334,335.718824921877,0.950162952797308,308.585503272247,16323.265009937
"L07","12","07",166871.545021694,330.936198137118,0.95409177189132,307.628697919512,16532.1399391353
"L08","12","08",133327.943797902,335.115166855179,0.947184304811275,305.755319867043,14706.8535727518
"L09","12","09",172577.206774094,330.873733323523,0.957506231463833,308.292450540555,17068.0532282448
"L10","12","10",138404.737188683,334.850351970932,0.943027999791523,306.519192965443,15169.4705989438
"L11","12","11",171050.104256764,331.234155167902,0.954667139527235,308.417222809633,17084.7362882855
"L12","12","12",138131.670081499,335.085426839126,0.944626333584109,306.664834872555,15225.8253741096
"L13","12","13",167312.870228135,331.231944913762,0.958171876919794,307.941491797698,16710.4509128539
"L14","12","14",131572.928937216,334.511139811106,0.944414296332283,304.896693299239,14301.8904158002
"L15","12","15",174638.682954405,331.449958623242,0.95261973408194,309.042019394522,17545.5170987352
"L16","12","16",137136.935867634,335.238017627328,0.949835428272956,306.603926788652,15171.7192781836
"L17","12","17",172490.786142194,331.288889423134,0.949758975869192,308.642277022889,17254.2855223098
"L18","12","18",135409.658065635,334.64858584403,0.946859900751028,305.778191029358,14768.5101269867
"L19","12","19",171873.402086909,331.373417438547,0.953564640499027,308.639837155591,17231.9850767015
"L20","12","20",141935.103439794,335.251340283446,0.945401654628362,307.503005104292,15707.5660500972
"L21","12","21",172112.396775681,331.08104831927,0.958167974938892,308.415548671851,17119.196895558
"L22","12","22",141832.675421295,335.542258743293,0.953622528130314,307.729332348523,15805.592170326
"L23","12","23",176506.988661068,331.379408893869,0.953331687554358,309.201906266964,17699.4186766826
"L24","12","24",137085.506888215,335.061231120873,0.947687266893856,306.446228998144,15101.7018923551
"289","13","01",169650.490686876,330.852086335949,0.944450543594523,307.911155068105,16768.5960660529
"290","13","02",136999.25905436,334.908629850783,0.951108904475661,306.302113287869,15036.6535961001
"291","13","03",179303.284814464,331.278056131256,0.953588507399355,309.436535242963,17930.4640736564
"292","13","04",142084.174047868,335.119669271439,0.949428619355275,307.418911152766,15674.4154548585
"293","13","05",177686.209744711,331.490778000993,0.95124488236567,309.4363442179,17871.3764185575
"294","13","06",132906.419814196,334.423899442412,0.955476670227512,305.095151906374,14415.9377234382
"295","13","07",169540.632256316,330.918908235294,0.954446538465881,307.955191672182,16788.5886309365
"296","13","08",137677.254165496,334.689865167869,0.949732563004257,306.2478551651,15030.9550047665
"297","13","09",171617.597964431,331.071898252999,0.953423062910612,308.346749351341,17065.7102835454
"298","13","10",137697.037001518,334.794393195009,0.956633167071164,306.339111285063,15071.412389909
"299","13","11",173125.489538035,331.248375078267,0.950493268627782,308.68446409726,17298.7184827235
"300","13","12",144167.31202215,335.792291183069,0.956056426716907,308.353807976755,16161.1450909083
"301","13","13",171445.313957421,331.302502310041,0.950073187428263,308.525477574029,17156.0465960504
"302","13","14",137937.427551643,335.487875254086,0.955474261012869,306.965172599789,15351.6441060416
"303","13","15",178443.220086386,331.980600714261,0.946412449701866,309.950718955082,18184.3195533749
"304","13","16",144322.571907564,335.830489524996,0.954445407246177,308.413132429848,16193.1251884701
"305","13","17",172621.735840679,331.154901645194,0.952282396717678,308.541972437453,17204.5268994644
"306","13","18",139678.826457669,335.226616096807,0.949629133237365,307.071680118979,15448.7083565226
"307","13","19",171985.665465199,331.688930396485,0.954832387170597,308.927372646134,17390.4364439761
"308","13","20",136322.657208483,335.46720148293,0.948083546764481,306.639077208521,15164.4633014777
