Parameters,Condition,kN_init,bN_init,kU_init,bU_init,dHm_init,Tm_init,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,S,BS_factor,T_onset,dCp_component,dG_std
G3,,-8.775757575757456,3716.6921212120824,-6.339393939393968,2326.641818181829,100000.0,333.15,-5.806020408435044,2832.591614304587,-5.240913102583131,1899.8495383623665,118215.36266243768,334.5590367833654,6.720624880012107,0.9457781143393144,301.9159128956763,-2.0571952536869844,12865.01637773002
A8,,-7.163636363636233,3243.0381818181395,-6.006060606060632,2204.391818181828,100000.0,332.15,-3.9522413628241346,2287.72704216915,-3.3453457500033568,1193.8842812925504,114305.63803788685,335.93577406870685,7.75132644709309,0.9477418005947533,302.02495398620607,-2.2095388767666577,12857.00228161951
F3,,-13.503030303030089,5323.928484848416,-3.981818181818195,1463.3245454545506,100000.0,328.15,-9.727708084829127,4206.972220318372,-2.490005320335637,891.0231992924361,115281.25136584451,334.82171373616484,9.27133065889492,0.9376793362711678,301.380852534921,-2.0858734324361308,12626.304913325832
F2,,-15.006060606060425,5723.456969696911,-3.515151515151526,1291.4545454545496,100000.0,328.15,-11.80784312731951,4781.746618299591,-2.2126252033847535,790.5229622951771,111096.89522556354,335.8072088985854,8.000187408769262,0.9375863299761904,301.0436358946605,-2.1950998141347924,12458.335856502585
A3,,-18.75757575757555,6905.171212121144,-2.9515151515151565,1085.915454545457,100000.0,328.15,-15.136517056630916,5831.733011080799,-2.9929050804065342,1084.8612553791097,114436.67733925546,334.47124921970595,7.687641403295084,0.93268094884866,300.8752974866986,-2.0476518676167146,12427.026499918638
C5,,-5.072727272727158,2663.2336363635986,-6.860606060606088,2516.5381818181922,100000.0,331.15,-2.109397673433405,1797.465935578468,-4.437648017725293,1584.0876755746285,111894.66164722345,335.2856442868968,10.789619690850133,0.9348719811493655,300.8461395152422,-2.1369718775533073,12393.254597498908
G5,,-5.272727272727152,2709.463636363597,-7.678787878787914,2816.933636363649,100000.0,330.15,-2.733676887345848,1971.8766245033917,-6.394542975549546,2307.719577901559,114122.4609176864,334.45262013645873,11.181226607909336,0.924497366066689,300.77704469272703,-2.0456293413367135,12387.238425706702
A7,,-3.3393939393938648,2106.6403030302786,-7.030303030303059,2578.1090909091013,100000.0,330.15,-0.5394824886097142,1290.864796077087,-6.977356422383963,2521.174372675597,118311.7042899526,333.0009174744549,12.874145164272216,0.9154415271723763,300.67022507500894,-1.8908733783661447,12382.162408869515
A6,,-0.6666666666665976,1266.366666666644,-8.121212121212151,2976.036363636376,100000.0,329.15,1.6912985578438533,586.3515569230001,-7.119821134362678,2552.757995313162,112315.54914460474,335.0362670281361,15.681516700685036,0.9045399223625823,300.7610373500723,-2.109433803442947,12365.530973432544
C6,,-6.6060606060604945,3108.7969696969335,-5.8666666666666885,2153.0800000000086,100000.0,333.15,-2.7661441124779786,1970.1963193345564,-2.6791999603748406,944.7999359241552,111036.38950449813,335.35329478152437,9.448073227050958,0.943097571975066,300.6618465997568,-2.1444707947325554,12318.11225502708
