Parameters,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,T_onset,dG_std,dCp_component
E9,2.3087768904807087,710.0568090036885,1.3611913180596487,502.39504690190677,7965.250093208268,0.5755328146776951,185.05087094320027,10667.364738744487,0.770655786214729
F1,1.442330497461525,447.83606080700184,0.45059086535220966,163.08305888385706,7010.363708138282,0.3672940086980001,166.7567228662148,9439.434638923707,0.4944825473316365
F10,1.4438562583988037,448.6587536273324,0.45246173448871185,163.6076031166215,7173.031138094438,0.3562653351904348,170.8718904605502,9658.648403378891,0.4796483734738187
F11,1.4187462225832026,441.39788813818865,0.4569743352532406,165.06202663393194,7223.47853931997,0.3288833988758862,172.4088356388361,9725.781499436018,0.4427541312175576
F12,1.2998760101441489,404.08683527304333,0.39849916046479866,143.9641577417761,6549.834326610393,0.31625209680712935,156.20288028473797,8820.816087844954,0.4258424048746617
F2,1.2340376311419314,383.6170714773793,0.5160366960475165,187.21879759224444,5520.741169639268,0.2647714528601906,131.15127179116413,7415.386305593721,0.35559275551546726
F3,1.265163007298202,392.8336953158933,0.5595365909895065,203.73920927255324,5781.647679567622,0.2913767303680114,136.8267824255345,7769.808312119615,0.3915251217634722
F4,1.4083080320525247,436.67354576753627,0.5672756696823832,206.73792427903444,6295.1439389495345,0.34449007793163544,148.7197882580607,8468.036153785668,0.46333293268645254
F5,1.232545711178724,383.7329209723194,0.46571114931498664,168.53469075158267,6364.31929022316,0.27669662334339606,151.7355724502359,8561.224938069563,0.37216657061243696
F6,1.3434246990664118,417.91685834960856,0.42752073157917586,154.42519107770818,6874.951318629199,0.31535159915212224,164.07516722982567,9257.673421560052,0.42458936407217873
F7,1.3038294109970334,405.89643548104556,0.4849800757976121,175.43187834563912,6756.3101121744285,0.29538940898560834,161.12889993920683,9087.538638252809,0.3972648375116382
F8,1.352223923704533,420.65251042575534,0.46682660727120545,168.81199236259383,6851.31962015092,0.3147707809617549,163.34278855691977,9219.351067723363,0.423510517622382
F9,1.406809162159134,437.7677817440599,0.47463196018220694,171.5696656045579,6992.5393642744675,0.3138582852644059,166.81557259235112,9413.788162972727,0.42248194408980905
G1,1.7372819284396384,538.8863025218886,0.45237548228792734,163.44019472211255,8370.28260523593,0.4778709806679357,199.24606177563723,11282.798291712084,0.6440272298065186
G10,1.3923869374142879,431.1887753269255,0.7511904894933614,274.8092595187628,5885.409137154479,0.3314494313782435,138.42056389256751,7889.964400379324,0.4442827863882966
G11,1.182595057043217,366.08557708208554,0.5089941311425458,185.63304725948237,5718.1238718312425,0.34479041976541697,134.78348399684444,7676.944019124048,0.46282981143412316
G12,1.2288615530454046,381.2107789806343,0.45982883343909653,166.92722706755657,6282.6837900104965,0.34671987209530397,148.91440686044925,8443.471552081273,0.4658937807766362
G2,1.6213420834031147,502.6459545468085,0.4633650392677337,167.75179886739062,7195.792340900972,0.42407445276542427,170.90485474343546,9692.568515483776,0.5711101432034967
G3,2.895512255669465,881.8314467859195,1.5213403909610559,562.9933809650952,10467.194778037054,1.4173172596952215,240.24479009466535,13991.769372942765,1.8937871562614994
G4,2.956733173375973,906.5841507075064,1.4135038718857276,521.3492053686878,10641.842804083846,0.969771021665212,246.71775873156292,14265.278224879068,1.2996621013025174
G5,3.277210985669687,1005.4874532062944,1.45432503002358,536.5365672897632,11182.520416706153,0.9827653335473834,259.50492192239204,15012.536680700257,1.319066256106745
G6,4.792294491746769,1480.3594411542354,2.214469122954186,815.2512406243369,19393.954084050583,1.2345859297872552,453.0583922395641,26102.789173059446,1.6614267029047538
G7,5.191971841657805,1599.9147146543662,1.8080292501075874,664.5847110122575,18390.188964045534,1.399632547617432,429.538909402125,24794.670405898807,1.8866852318008356
G8,4.558661235568699,1397.903949661239,2.179251398311487,807.5725621331386,16094.870546396749,1.333323087091925,372.2836075262842,21622.570694854767,1.7909141603237624
G9,2.2665539228985923,695.5540419178473,1.510254768945355,559.1236227236135,8891.50396071313,0.6726249622935375,205.6884204772923,11890.207421577968,0.899333310749169
H1,1.2457090103945068,387.9173158469314,0.49091179599613005,177.63485775090453,6518.644009449426,0.2801707400289232,155.4472430713721,8762.879505173763,0.3765848144802124
H10,1.401068009514962,435.52974292510066,0.43277425559884136,156.3847197015743,7101.153956443002,0.3433284491415982,169.31272124390802,9563.367985677249,0.46230549737180066
H11,1.3722302718836283,426.4374388904775,0.4614950752118122,167.03831666236113,7056.425048164451,0.3474498656763793,167.9591358157456,9496.879331998933,0.4675487078062077
H12,1.3389724457665775,415.6483675213379,0.4101679605459029,148.4421187377286,6724.183506187275,0.3586373440351364,159.92798064131557,9054.871093751746,0.4828672101161994
H2,1.2860786247270313,399.25379500146784,0.6933330496522886,253.07853608975384,4933.827442968804,0.2472965431840333,116.49152136388443,6617.774353334553,0.33166252580491973
H3,1.0162735586522234,316.6218344499714,0.5253185245906306,190.75794833463615,5162.033945139905,0.2168102127385941,122.75778750405622,6925.382746202093,0.2908435928582011
H4,1.306969607545164,405.1638998968524,0.5141594707009502,187.23132660858343,5714.342644008643,0.3185684745625552,135.06151709613457,7684.581879863373,0.4283443885668711
H5,1.4356620583137303,444.5513181875012,0.5443484455770327,198.38195614661208,6418.21639463954,0.3832591837847636,151.46578939109435,8632.706403119351,0.5154128256784769
H6,1.3067746490882308,406.376641926713,0.4249932897527782,153.63526815156845,6638.349468424826,0.3118304455285914,158.27290112808763,8937.667526309318,0.41978173439212807
H7,1.290422482549729,400.84752583458607,0.4096026330112832,148.17270132711596,6795.789540085869,0.3460110685663692,161.774550262727,9148.382340635577,0.4657237262751314
H8,1.3618939880680352,423.8297760977403,0.4807726424401603,173.842025940418,7029.397359008721,0.31415901465779705,167.65519292787874,9458.255882667276,0.4226574246575357
H9,1.3855051117733417,431.10885408328,0.47658954055985303,172.30919999385839,7065.667170402072,0.31899519452668934,168.51877722820012,9509.37605552345,0.4292673682982444
